"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Archer J.; Mavridou I.; Stankoski S.; Broulidakis M.J.; Cleal A.; Walas P.; Fatoorechi M.; Gjoreski H.; Nduka C.","Archer, James (57993417700); Mavridou, Ifigeneia (57063037500); Stankoski, Simon (57212023515); Broulidakis, M. John (57203764688); Cleal, Andrew (57194046069); Walas, Piotr (58237982900); Fatoorechi, Mohsen (56394589700); Gjoreski, Hristijan (53979604500); Nduka, Charles (6701344479)","57993417700; 57063037500; 57212023515; 57203764688; 57194046069; 58237982900; 56394589700; 53979604500; 6701344479","OCOsenseTMSmart Glasses for Analyzing Facial Expressions Using Optomyographic Sensors","2023","IEEE Pervasive Computing","22","3","","18","26","14","10.1109/MPRV.2023.3276471","https://www.scopus.com/pages/publications/85163790535?origin=resultslist","Emteq Labs, Brighton, BN19SB, United Kingdom; Ss. Cyril and Methodius University, Skopje, North Macedonia","Archer J., Emteq Labs, Brighton, BN19SB, United Kingdom; Mavridou I., Emteq Labs, Brighton, BN19SB, United Kingdom; Stankoski S., Emteq Labs, Brighton, BN19SB, United Kingdom; Broulidakis M.J., Emteq Labs, Brighton, BN19SB, United Kingdom; Cleal A., Emteq Labs, Brighton, BN19SB, United Kingdom; Walas P., Emteq Labs, Brighton, BN19SB, United Kingdom; Fatoorechi M., Emteq Labs, Brighton, BN19SB, United Kingdom; Gjoreski H., Emteq Labs, Brighton, BN19SB, United Kingdom, Ss. Cyril and Methodius University, Skopje, North Macedonia; Nduka C., Emteq Labs, Brighton, BN19SB, United Kingdom","This article introduces the Emteq's OCOsenseTM smart glasses equipped with a novel noncontact OCOTM sensor technology for measuring facial muscle activation and expressions based on high-resolution tracking of skin movement. We demonstrate that the OCOTM sensor technology based on optomyography is a sensitive and accurate approach for assessing skin movement in three dimensions, providing a means for measuring the facial expressions used to assess emotional valence such as smile, frown, and eyebrow raise. We propose that glasses-based optomyography sensing has the potential to herald a paradigm shift in real-world facial expression monitoring, thus enabling real-time emotional analytics with healthcare and research applications.  © 2002-2012 IEEE.","","Wearable sensors; Facial Expressions; Facial muscle activations; High resolution; Non-contact; Sensor systems; Sensor technologies; Skin movement; Smart glass; Technology-based; Tracking; Glass","Article","Final","","Scopus","2-s2.0-85163790535"
"Almufareh M.F.; Kausar S.; Humayun M.; Tehsin S.","Almufareh, Maram Fahaad (57202332807); Kausar, Sumaira (36682546800); Humayun, Mamoona (56580449600); Tehsin, Samabia (36148756300)","57202332807; 36682546800; 56580449600; 36148756300","A Conceptual Model for Inclusive Technology: Advancing Disability Inclusion through Artificial Intelligence","2024","Journal of Disability Research","3","1","e20230060","","","115","10.57197/JDR-2023-0060","https://www.scopus.com/pages/publications/105005441577?origin=resultslist","Department of Information Systems, College of Computer and Information Sciences, Jouf University, Sakakah, 72388, Saudi Arabia; COE-AI, Department of CS, Bahria University, Islamabad, 44000, Pakistan","Almufareh M.F., Department of Information Systems, College of Computer and Information Sciences, Jouf University, Sakakah, 72388, Saudi Arabia; Kausar S., COE-AI, Department of CS, Bahria University, Islamabad, 44000, Pakistan; Humayun M., Department of Information Systems, College of Computer and Information Sciences, Jouf University, Sakakah, 72388, Saudi Arabia; Tehsin S., COE-AI, Department of CS, Bahria University, Islamabad, 44000, Pakistan","Artificial intelligence (AI) has ushered in transformative changes, championing inclusion and accessibility for individuals with disabilities. This article delves into the remarkable AI-driven solutions that have revolutionized their lives across various domains. From assistive technologies such as voice recognition and AI-powered smart glasses catering to diverse needs, to healthcare benefiting from early disease detection algorithms and wearable devices that monitor vital signs and alert caregivers in emergencies, AI has steered in significant enhancements. Moreover, AI-driven prosthetics and exoskeletons have substantially improved mobility for those with limb impairments. The realm of education has not been left untouched, with AI tools creating inclusive learning environments that adapt to individual learning styles, paving the way for academic success among students with disabilities. However, the boundless potential of AI also presents ethical concerns and challenges. Issues like safeguarding data privacy, mitigating algorithmic bias, and bridging the digital divide must be thoughtfully addressed to fully harness AI’s potential in empowering individuals with disabilities. To complement these achievements, a robust conceptual model for AI disability inclusion serves as the theoretical framework, guiding the development of tailored AI solutions. By striking a harmonious balance between innovation and ethics, AI has the power to significantly enhance the overall quality of life for individuals with disabilities across a spectrum of vital areas. © 2024, King Salman Center for Disability Research. All rights reserved.","accessibility; artificial intelligence; disability inclusion","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105005441577"
"Janaka N.; Zhao S.; Hsu D.; Wen S.T.J.; Koh C.K.","Janaka, Nuwan (56926775300); Zhao, Shengdong (8433003800); Hsu, David (34569904000); Wen, Sherisse Tan Jing (59252988700); Koh, Chun Keat (58865889000)","56926775300; 8433003800; 34569904000; 59252988700; 58865889000","TOM: A Development Platform For Wearable Intelligent Assistants","2024","UbiComp Companion 2024 - Companion of the 2024 ACM International Joint Conference on Pervasive and Ubiquitous Computing","","","","837","843","9","10.1145/3675094.3678382","https://www.scopus.com/pages/publications/85203867419?origin=resultslist","Smart Systems Institute, National University of Singapore, Synteraction Lab, Singapore; Synteraction Lab School of Creative Media, Department of Computer Science, City University of Hong Kong, Hong Kong; School of Computing, National University of Singapore Smart Systems Institute, National University of Singapore, Singapore; School of Computing, National University of Singapore, Singapore; Smart Systems Institute, National University of Singapore, Singapore","Janaka N., Smart Systems Institute, National University of Singapore, Synteraction Lab, Singapore; Zhao S., Synteraction Lab School of Creative Media, Department of Computer Science, City University of Hong Kong, Hong Kong; Hsu D., School of Computing, National University of Singapore Smart Systems Institute, National University of Singapore, Singapore; Wen S.T.J., School of Computing, National University of Singapore, Singapore; Koh C.K., Smart Systems Institute, National University of Singapore, Singapore","Advanced wearable digital assistants can significantly enhance task performance, reduce user burden, and provide personalized guidance to improve users' abilities. However, developing these assistants presents several challenges. To address this, we introduce TOM (The Other Me), a conceptual architecture and open-source software platform (https://github.com/TOM-Platform) that supports the development of wearable intelligent assistants that are contextually aware of both the user and the environment. Collaboratively developed with researchers and developers, TOM meets their diverse requirements. TOM facilitates the creation of intelligent assistive AR applications for daily activities, supports the recording and analysis of user interactions, and provides assistance for various activities, as demonstrated in our preliminary evaluations. © 2024 Copyright held by the owner/author(s).","AI assistance; AI/ML; AR; augmented reality; context-aware system; HMD; interactions; MR; smart glasses; wearable; XR","Augmented reality; Open source software; Software architecture; Wearable technology; AI assistance; AI/ML; AR; Context-aware systems; Intelligent assistants; Interaction; MR; Smart glass; Wearable; XR","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85203867419"
"Pochon B.; Cabana T.; Biswas P.R.; Guichard F.","Pochon, Benoit (57753964800); Cabana, Thibault (58672840200); Biswas, Pooshpanjan Roy (57194570408); Guichard, Frédéric (56233105400)","57753964800; 58672840200; 57194570408; 56233105400","From faces to HDR scenes objective and perceptual metrics for AI smart glasses image quality","2026","Proceedings of SPIE - The International Society for Optical Engineering","13821","","138210T","","","0","10.1117/12.3081081","https://www.scopus.com/pages/publications/105035997404?origin=resultslist","DXOMARK Image Labs, 24-26 Quai Alphonse Le Gallo, Boulogne-Billancourt, 92100, France","Pochon B., DXOMARK Image Labs, 24-26 Quai Alphonse Le Gallo, Boulogne-Billancourt, 92100, France; Cabana T., DXOMARK Image Labs, 24-26 Quai Alphonse Le Gallo, Boulogne-Billancourt, 92100, France; Biswas P.R., DXOMARK Image Labs, 24-26 Quai Alphonse Le Gallo, Boulogne-Billancourt, 92100, France; Guichard F., DXOMARK Image Labs, 24-26 Quai Alphonse Le Gallo, Boulogne-Billancourt, 92100, France","Artificial Intelligence (AI) smart glasses with integrated cameras are becoming increasingly prevalent, yet their image quality remains underexplored. This study presents a comprehensive evaluation protocol tailored for such human-facing wearable devices, using both standardized and proprietary metrics (including AI based metrics). Key metrics include Local Contrast Gain (LCG) [1], face exposure, texture preservation, visual noise in Just-Noticeable-Difference (JND) units [2], Video Exposure Convergence (VEC), and video stabilization across static and walking conditions. Perceptual evaluations were also conducted to assess HDR performance in high (D65, 1000 lux) and low (2700K, 5 lux) illumination environments [3]. The Meta Ray-Ban AI smart glasses were benchmarked against an iPhone 16 Pro Max smartphone using the Ultra wide camera and several other AI-enabled smart glasses-including the Xiaomi AI Glasses, Rayneo V3, and Meta Oakley HSTN-to evaluate their strengths and limitations in real-world AR/VR use cases. The results revealed highly diverse performance levels across smart glasses and highlighted the significant image quality gap that still exists between wearable devices and today's flagship smartphones. These findings provide valuable insights into the design and optimization of next-generation camera-based smart glasses. © 2026 SPIE. All rights reserved.","Dynamic Range; Exposure; Image quality; Skin Tones; Smart glasses; Texture; White Balance","Cameras; Glass; Image texture; Quality control; Smartphones; Wearable technology; Dynamic range; Exposure; Integrated cameras; Objective metrics; Perceptual metrics; Skin tone; Smart glass; Smart phones; Wearable devices; White balance; Image quality; Textures","Conference paper","Final","","Scopus","2-s2.0-105035997404"
"Guo Y.","Guo, Yunqi (57219553076)","57219553076","Assistive AR System for Enhancing Human-Human and Human-Environment Interactions","2025","MobiSys 2025 - Proceedings of the 23rd ACM international Conference on Mobile Systems, Applications, and Services","","","","661","662","0","10.1145/3711875.3736666","https://www.scopus.com/pages/publications/105020382977?origin=resultslist","The Chinese University of Hong Kong, New Territories, Sha Tin, Hong Kong","Guo Y., The Chinese University of Hong Kong, New Territories, Sha Tin, Hong Kong","Augmented Reality (AR) smart glasses promise transformative enhancements to human interactions and environmental awareness, yet face substantial challenges, including limited computational resources, constrained sensing capabilities, and inadequate intuitive interfaces. We introduce Assistive AR, a new category of AR systems designed explicitly for assistance to people's everyday lives, supporting both human-human and human-environment interactions through human-like sensing, efficient computation, and intuitive presentations. Specifically, Sign-to-911 addresses communication barriers for deaf users during emergencies by providing real-time bidirectional Sign Language translation on the AR system. SocialMind enhances social interactions using proactive large language models (LLMs) to interpret and suggest responses based on conversational context. Further, Sensor2Scene and Vivar utilize generative models to visualize complex environmental sensor data to enhance the human-environment interaction. Moving forward, we will provide a general and scalable framework called MASG-MCP that enables users to create and customize tools on the Assistive AR system through a unified LLM agent. © 2025 Copyright held by the owner/author(s).","accessibility; assistive AR; augmented reality; human-computer interaction; large language models; mobile computing","Human computer interaction; Interactive computer graphics; Mobile computing; Accessibility; Assistive; Assistive augmented reality; Augmented reality systems; Computer interaction; Human-environment interaction; Language model; Large language model; Mobile-computing; Smart glass; Augmented reality","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105020382977"
"Udayakumar D.; Gopalakrishnan S.; Raghuram A.; Kartha A.; Krishnan A.K.; Ramamirtham R.; Muthangi R.; Raju R.","Udayakumar, Devi (59924026700); Gopalakrishnan, Sarika (57194013337); Raghuram, Aparna (13103957500); Kartha, Arathy (57219008343); Krishnan, Arun Kumar (59924026800); Ramamirtham, Ramkumar (8049856700); Muthangi, Ramu (59924328800); Raju, Ramakrishna (59924127600)","59924026700; 57194013337; 13103957500; 57219008343; 59924026800; 8049856700; 59924328800; 59924127600","Artificial intelligence-powered smart vision glasses for the visually impaired","2025","Indian Journal of Ophthalmology","73","Suppl 3","","S492","S497","3","10.4103/IJO.IJO_1621_24","https://www.scopus.com/pages/publications/105007037146?origin=resultslist","Department of Low Vision Rehabilitation Services, Vision-Aid, India; Envision Research Institute, United States; Department of Ophthalmology, Harvard Medical School, Boston, MA, United States; Department of Biological and Vision Sciences, SUNY College of Optometry, New York, United States; Medical Affairs, AbbVie, United States; Translational Medicine, Novartis Institute for Biomedical Research, Cambridge, MA, United States; Department of Research and Innovation, SHG Technologies, India; Department of Low Vision Rehabilitation Services, Vision-Aid, United States","Udayakumar D., Department of Low Vision Rehabilitation Services, Vision-Aid, India; Gopalakrishnan S., Envision Research Institute, United States; Raghuram A., Department of Ophthalmology, Harvard Medical School, Boston, MA, United States; Kartha A., Department of Biological and Vision Sciences, SUNY College of Optometry, New York, United States; Krishnan A.K., Medical Affairs, AbbVie, United States; Ramamirtham R., Translational Medicine, Novartis Institute for Biomedical Research, Cambridge, MA, United States; Muthangi R., Department of Research and Innovation, SHG Technologies, India; Raju R., Department of Low Vision Rehabilitation Services, Vision-Aid, United States","Purpose: In India, 4.80 million people are blind, and 4.69 million have severe visual impairment. Globally, the digital era and the advent of artificial intelligence devices offer solutions for daily challenges faced by the visually impaired, but they are often expensive. This study evaluates the acceptance and usability of a cost-effective AI-powered spectacle-mounted assistive device in a multicentric Indian cohort. Methods: Smart vision glass (SVG) is a lightweight tool, mounted on a spectacle frame with braille-coded keys and a real-time voice interface for guiding the visually impaired, and is connected to a smartphone Android App. The four major functions of the device are as follows: 'Things Around You,' 'Reading,' 'Walking Assistance,' and 'Face Recognition.' Ninety participants were recruited from five vision rehabilitation centers across India, and feedback was collected after a month's usage. Results: The mean age of the participants was 23.5 years (range: 6 to 56 years) with 58.9% male; 51% from rural areas; and 64.4% students. As per the World Health Organization (WHO) classification, 90% of the participants were blind (best corrected visual acuity in better eye less than 3/60). A total of 100% of the participants were able to access all the functions of the SVG. Participants reported a positive experience with 'Reading' (72.9%), 'Things Around You' (44.7%), 'Face Recognition' (36.5%), and 'Walking Assistance' (22.4%). About 2/3 rd of the participants utilized the device for an hour or more per day. Conclusion: SVG is a promising cost-effective device for the blind and severe visually impaired in aiding their day-to-day challenges and becoming self-reliant.  © 2025 Indian Journal of Ophthalmology.","Artificial intelligence; assistive technology; blindness; low vision; vision rehabilitation; visual impairment","Adolescent; Adult; Artificial Intelligence; Blindness; Child; Equipment Design; Eyeglasses; Female; Humans; India; Male; Middle Aged; Persons with Visual Disabilities; Smart Glasses; Vision, Low; Visual Acuity; Young Adult; adolescent; adult; artificial intelligence; blindness; child; clinical trial; epidemiology; equipment design; female; human; India; low vision; male; middle aged; multicenter study; rehabilitation; smart glasses; spectacles; visual acuity; visually impaired person; young adult","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105007037146"
"Sathya V.; Preetha H.; Gopika K.","Sathya, V. (59172433600); Preetha, H. (59960820800); Gopika, K. (57222046343)","59172433600; 59960820800; 57222046343","Smart Navigation Glasses For Independent Living","2025","2025 International Conference on Computing and Communication Technologies, ICCCT 2025","","","","","","2","10.1109/ICCCT63501.2025.11020288","https://www.scopus.com/pages/publications/105009009058?origin=resultslist","Sri Sairam Engineering College, Department of Information Technology, Chennai, India","Sathya V., Sri Sairam Engineering College, Department of Information Technology, Chennai, India; Preetha H., Sri Sairam Engineering College, Department of Information Technology, Chennai, India; Gopika K., Sri Sairam Engineering College, Department of Information Technology, Chennai, India","The goal of the Smart Glasses for Navigation and Independent Living project is to give visually impaired people a hands-free, wearable way to safely and freely navigate their surroundings. For real-time obstacle identification and navigation support, this system combines cutting-edge technology like the ESP32-CAM, ultrasonic sensors, and Raspberry Pi with machine learning tools like OpenCV and TensorFlow Lite. Through tactile and aural signals, the glasses provide multimodal input, helping users navigate challenging situations and challenging locations. The technology, which has uses in both personal and healthcare settings, is made to be inexpensive, adaptable, and scalable. It improves the mobility, safety, and freedom of people with visual impairments. Additional sensors for accurate environmental mapping, cloud-based processing for dynamic route modifications, and further device downsizing are possible future improvements. Millions of people throughout the world suffer from vision impairments, which significantly impede their capacity for autonomous navigation. A more efficient approach is required because current assistive technologies are frequently costly, complex, and devoid of real-time, context-sensitive input..  © 2025 IEEE.","arduino; development board; ESP 32 Microcontroller and cam; genAi; Visual impairment","Air navigation; Assistive technology; Cams; Cutting tools; Learning systems; Robotics; Visual servoing; Wearable sensors; Arduino; Development board; ESP 32 microcontroller and cam; Genai; Hands-free; Independent living; Real- time; Smart glass; Visual impairment; Visually impaired people; Glass","Conference paper","Final","","Scopus","2-s2.0-105009009058"
"Chwalek P.; Zhong S.; Ramsay D.; Perry N.; Paradiso J.","Chwalek, Patrick (57190847128); Zhong, Sailin (57205464675); Ramsay, David (57204365286); Perry, Nathan (58676367600); Paradiso, Joe (35576415800)","57190847128; 57205464675; 57204365286; 58676367600; 35576415800","AirSpec: A Smart Glasses Platform, Tailored for Research in the Built Environment","2023","UbiComp/ISWC 2023 Adjunct - Adjunct Proceedings of the 2023 ACM International Joint Conference on Pervasive and Ubiquitous Computing and the 2023 ACM International Symposium on Wearable Computing","","","","204","","5","10.1145/3594739.3610796","https://www.scopus.com/pages/publications/85175435297?origin=resultslist","MIT Media Lab, Massachusetts Institute of Technology, Cambridge, MA, United States; University of Fribourg, Fribourg, Switzerland","Chwalek P., MIT Media Lab, Massachusetts Institute of Technology, Cambridge, MA, United States; Zhong S., University of Fribourg, Fribourg, Switzerland; Ramsay D., MIT Media Lab, Massachusetts Institute of Technology, Cambridge, MA, United States; Perry N., MIT Media Lab, Massachusetts Institute of Technology, Cambridge, MA, United States; Paradiso J., MIT Media Lab, Massachusetts Institute of Technology, Cambridge, MA, United States","AirSpec is an extensible, environment-focused, research and development smart glasses platform that evolved from an existing open-source, psychophysiological monitoring system. We created custom supporting software toolkits that allow users to interact with the device, easily view real-time data, and perform remote data collection. In its base configuration, the system includes a variety of sensors that sample physiological and environmental signals and stream that data to a Bluetooth-connected client, either a phone running the AirSpec App or a Bluetooth-equipped computer via our website or a python script. In addition, AirSpecs have been made more extensible with multiple external electrical connections to support more applications and future sensor subsystems. © 2023 Owner/Author.","Across-Context Sensing; Control Systems; Environmental Monitoring; Platforms; Smart Glasses; Toolkits; Wearables","Bluetooth; Computer hardware description languages; Electric connectors; Glass; Open systems; Python; Wearable computers; Across-context sensing; Built environment; Context sensing; Environmental Monitoring; Open-source; Platform; Research and development; Smart glass; Toolkit; Wearables; Open source software","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85175435297"
"Zhang Q.; Huang J.; Itoh Y.; Starner T.; Kunze K.; Rekimoto J.","Zhang, Qing (57278328300); Huang, Jing (58147848800); Itoh, Yuta (56154865900); Starner, Thad (7003469397); Kunze, Kai (60223046600); Rekimoto, Jun (6603848632)","57278328300; 58147848800; 56154865900; 7003469397; 60223046600; 6603848632","Pro's Eyes: A Wearable System for Synchronous and Asynchronous Observational Pattern Learning","2025","Proceedings - SIGGRAPH Asia 2025 Emerging Technologies, SA 2025","","","15","","","0","10.1145/3757373.3763766","https://www.scopus.com/pages/publications/105025348802?origin=resultslist","The University of Tokyo, Tokyo, Japan; Tokyo University of the Arts, Tokyo, Japan; Georgia Institute of Technology, Atlanta, United States; Keio University, Yokohama, Japan; Sony CSL, Kyoto, Japan","Zhang Q., The University of Tokyo, Tokyo, Japan; Huang J., Tokyo University of the Arts, Tokyo, Japan; Itoh Y., The University of Tokyo, Tokyo, Japan; Starner T., Georgia Institute of Technology, Atlanta, United States; Kunze K., Keio University, Yokohama, Japan; Rekimoto J., The University of Tokyo, Tokyo, Japan, Sony CSL, Kyoto, Japan","Learning to see the world like an expert is a critical step in mastering complex skills, yet transferring these implicit visual strategies remains a significant challenge. We present Pro's Eyes, a wearable see-through display system designed to bridge this expert-novice gap by synchronizing a novice's observational patterns with an expert's. The system implicitly guides a user's attention by creating a clear viewing aperture aligned with an expert's gaze path while dimming the visual periphery. To validate our approach, we conducted a formal user study (N=17) focusing on an art appreciation task. The results provide strong empirical evidence of the system's efficacy: Pro's Eyes significantly improved gaze synchronization between novices and a pre-recorded expert's path (p<.05) compared to free observation. Subjectively, participants reported that the guidance helped them identify details they would have otherwise missed. Our work's primary contribution is an empirically-validated wearable system that demonstrates the potential of implicit gaze guidance for transferring expert observational skills. © 2025 Copyright held by the owner/author(s).","Augmented Reality; Expert-Novice Learning; Eye Tracking; Gaze Guidance; Observational Learning; Programmable Vision; Skill Acquisition; Smart Eyewear; Wearable Computing","Behavioral research; Computer vision; Display devices; Eye movements; Eye tracking; Eyeglasses; Human engineering; Interactive computer graphics; Interactive computer systems; Learning systems; Wearable computers; Expert-novice learning; Eye-tracking; Eyewear; Gaze guidances; Observational learning; Programmable vision; Skills acquisition; Smart eyewear; Wearable computing; Wearable systems; Augmented reality","Conference paper","Final","","Scopus","2-s2.0-105025348802"
"Jin Y.; Meng Y.; Gao S.; Lv X.; Wei Y.","Jin, Yuxi (60169821600); Meng, Yuan (56331709000); Gao, Shang (36720445900); Lv, Xiaoling (57190014503); Wei, Yingjin (10144224600)","60169821600; 56331709000; 36720445900; 57190014503; 10144224600","Self-supported hydrophilic electrode enabling high-performance flexible aqueous zinc-ion batteries","2026","Journal of Energy Storage","141","","119437","","","0","10.1016/j.est.2025.119437","https://www.scopus.com/pages/publications/105020963208?origin=resultslist","School of Materials Science and Engineering, Changchun University of Science and Technology, Changchun, 130022, China; Key Laboratory of Physics and Technology for Advanced Batteries (Ministry of Education), College of Physics, Jilin University, Changchun, 130012, China","Jin Y., School of Materials Science and Engineering, Changchun University of Science and Technology, Changchun, 130022, China; Meng Y., School of Materials Science and Engineering, Changchun University of Science and Technology, Changchun, 130022, China; Gao S., School of Materials Science and Engineering, Changchun University of Science and Technology, Changchun, 130022, China; Lv X., School of Materials Science and Engineering, Changchun University of Science and Technology, Changchun, 130022, China; Wei Y., Key Laboratory of Physics and Technology for Advanced Batteries (Ministry of Education), College of Physics, Jilin University, Changchun, 130012, China","In recent years, flexible and wearable electronic devices have revolutionized daily life and attracted significant attention for applications such as rollable displays, smart glasses, and implantable medical devices. With the increasing demand for smart electronic products, the development of lightweight, thin, and flexible batteries has become a major research focus. In this work, we developed a self-supported MnO film electrode (S-MnO/C) via electrospinning technology, which incorporates MnO particles into carbon nanofibers to form a three-dimensional (3D) interwoven microstructure. On one hand, this architecture endows the electrode with excellent mechanical flexibility, enabling it to retain its original shape even after being folded twice, while the assembled pouch cells remain fully functional under deformation. On the other hand, the high void ratio and interconnected 3D electronic transport network enhance both ion and electron transport efficiency. Moreover, the absence of metal current collectors and electrochemically inert binders significantly improves the electrochemical performance and energy density of the ultralight electrode. This innovative electrode design presents a promising solution for wearable battery materials and demonstrates significant potential in flexible wearable electronics, consumer electronics, and stationary energy storage applications. It offers a new pathway toward for lightweight and high-performance energy storage systems. © 2025 Elsevier Ltd","Aqueous zinc-ion battery; Enhanced energy density; Flexible; MnO; Ultrahydrophilic","Biomedical equipment; Carbon nanofibers; Electron devices; Electron transport properties; Flexible displays; Hydrophilicity; Implants (surgical); Ions; Wearable technology; Zinc; Aqueous zinc-ion battery; Electronics devices; Energy density; Enhanced energy density; Flexible; Hydrophilics; Ion batteries; Performance; Ultrahydrophilic; Zinc ions; Manganese oxide","Article","Final","","Scopus","2-s2.0-105020963208"
"Udo G.; Bagchi K.","Udo, Godwin (7004107603); Bagchi, Kallol (7004536451)","7004107603; 7004536451","Can human values influence metaverse technology? The case of augmented reality smart glasses adoption","2025","Acta Psychologica","260","","105535","","","1","10.1016/j.actpsy.2025.105535","https://www.scopus.com/pages/publications/105015454836?origin=resultslist","Department of Accounting and Information Sciences, University of Texas at El Paso, El Paso, 79968, TX, United States","Udo G., Department of Accounting and Information Sciences, University of Texas at El Paso, El Paso, 79968, TX, United States; Bagchi K., Department of Accounting and Information Sciences, University of Texas at El Paso, El Paso, 79968, TX, United States","Cases abound where emerging technologies expectations fail to materialize at the adoption stage even when the design and technical specifications are intact. The objective of this study is to examine how human values affect the acceptance of metaverse technology, particularly augmented smart glasses (ARSG) which is absent in literature. We developed and evaluated a research model to analyze users' intention to use ARSG grounded on Schwartz's three high-order values (Openness to Change, Conservation, and Self-Enhancement) and Unified Theory of Acceptance and Use of Technology (UTAUT). The study participants completed two survey forms after engaging in hands-on practice with ARSG. A total of 126 participants completed the full process, and the data was analyzed using WarpPLS software. The results show that two high-order values substantially impact users' intentions to use ARSG. The model's results demonstrate that human values can accurately explain the adoption of emerging technologies. These results emphasize the significance of considering human values in the conception and widespread adoption of metaverse technology, such as ARSG. This research advances knowledge on what factors affect metaverse technology acceptance using a more robust integrated model. Our research can inform the design and development of wearable technologies that align with the users' values and are more widely accepted and used in the metaverse ecosystem. © 2025","ARSG adoption; Augmented reality smart glasses; Conservation; Human values; Metaverse enabler; Openness-to-change; Self-enhancement","Adult; Augmented Reality; Female; Humans; Intention; Male; Smart Glasses; Young Adult; adoption; adult; Article; augmented reality; Caucasian; convergent validity; demographics; discriminant validity; female; hedonism; human; human experiment; male; metaverse technology; normal human; questionnaire; social influence; technology; undergraduate student; behavior; smart glasses; young adult","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105015454836"
"Faisal M.; Alqouz H.; Ashkanani H.; Alkandari S.; Boland A.; Mohammed S.","Faisal, Maha (54977008800); Alqouz, Hadeel (60082822700); Ashkanani, Hussain (60083152100); Alkandari, Sulaiman (60083475300); Boland, Abdullah (60083312200); Mohammed, Salem (56422295000)","54977008800; 60082822700; 60083152100; 60083475300; 60083312200; 56422295000","SightNavigator: AI-Powered Smart Glasses to Enable Independent Shopping for Visually Impaired Individuals","2025","ISAS 2025 - 9th International Symposium on Innovative Approaches in Smart Technologies, Proceedings","","","","","","0","10.1109/ISAS66241.2025.11101957","https://www.scopus.com/pages/publications/105014923073?origin=resultslist","Kuwait University, Computer Engineering Department, Kuwait City, Kuwait","Faisal M., Kuwait University, Computer Engineering Department, Kuwait City, Kuwait; Alqouz H., Kuwait University, Computer Engineering Department, Kuwait City, Kuwait; Ashkanani H., Kuwait University, Computer Engineering Department, Kuwait City, Kuwait; Alkandari S., Kuwait University, Computer Engineering Department, Kuwait City, Kuwait; Boland A., Kuwait University, Computer Engineering Department, Kuwait City, Kuwait; Mohammed S., Kuwait University, Computer Engineering Department, Kuwait City, Kuwait","Blind and visually impaired individuals often rely on assistance when navigating crowded public spaces and locating products in markets. We introduce SightNavigator, a pair of AI-powered smart glasses that combines real-time obstacle detection, section recognition, and product identification to enable fully independent shopping. An integrated OAKD Lite depth camera and YOLOv8 model detect and guide users around obstacles, while voice commands allow section selection and ondemand retrieval of product information (e.g., price, expiration date, nutritional content). RFIDbased wayfinding ensures accurate market navigation without preplanning. In prototype trials, SightNavigator achieved over 95% object detection accuracy and reduced average aislefinding time by 40%. By uniting advanced computer vision, spatial sensing, and speech interaction in a lightweight wearable, SightNavigator delivers an inclusive shopping experience that restores autonomy, confidence, and safety for people with visual impairments. © 2025 IEEE.","Accessibility; AI; Blind; Inclusive user experience; Machine Learning; Obstacle Detection; shopping. I; Voice Recognition","Computer vision; Glass; Human computer interaction; Human rehabilitation equipment; Learning systems; Object detection; Object recognition; Obstacle detectors; Speech communication; Speech recognition; User interfaces; Vision aids; Accessibility; Blind; I; Inclusive user experience; Machine-learning; Obstacles detection; Shopping.; Smart glass; Users' experiences; Visually impaired; Artificial intelligence","Conference paper","Final","","Scopus","2-s2.0-105014923073"
